"CODIGO_CLIENTE","UF","IDADE","ESCOLARIDADE","ESTADO_CIVIL","QT_FILHOS","CASA_PROPRIA","QT_IMOVEIS","VL_IMOVEIS","OUTRA_RENDA_VALOR","TEMPO_ULTIMO_EMPREGO_MESES","TRABALHANDO_ATUALMENTE","ULTIMO_SALARIO","QT_CARROS","VALOR_TABELA_CARROS","SCORE_CREDITO","EMPRESTIMO"
"34","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","NAO"
"35","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","47","SIM"
"36","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"37","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","53","SIM"
"38","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"39","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"40","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"41","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"42","SC","35","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"43","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"44","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"45","SP","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"46","MG","51","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"47","SC","53","Superior Cursando","Casado","2","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"48","PR","55","Superior Completo","Casado","2","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"49","RJ","57","Segundo Grau Completo","Casado","3","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"50","SP","62","Superior Cursando","Casado","3","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"51","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"52","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"53","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","42","SIM"
"54","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","48","NAO"
"55","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","47","SIM"
"56","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","53","NAO"
"57","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"58","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"59","SC","35","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","SIM"
"60","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","NAO"
"61","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","SIM"
"62","SP","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","NAO"
"63","MG","51","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","SIM"
"64","SC","53","Superior Cursando","Casado","2","Não","1","280000","0","12","Sim","9000","0","0","78","NAO"
"65","PR","55","Superior Completo","Casado","2","Não","3","700000","0","75","Não","17500","1","50000","84","SIM"
"66","RJ","57","Segundo Grau Completo","Casado","3","Sim","1","340000","4000","90","Sim","13000","2","180000","89","NAO"
"67","SP","62","Superior Cursando","Casado","3","Sim","1","450000","3200","93","Não","5300","0","0","95","SIM"
"68","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","NAO"
"69","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","42","SIM"
"70","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","48","NAO"
"71","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","47","SIM"
"72","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","53","NAO"
"73","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"74","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"75","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"76","SC","35","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"77","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"78","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"79","SP","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"80","MG","51","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"81","SC","53","Superior Cursando","Casado","2","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"82","PR","55","Superior Completo","Casado","2","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"83","RJ","57","Segundo Grau Completo","Casado","3","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"84","SP","62","Superior Cursando","Casado","3","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"85","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"86","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"87","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","43","SIM"
"88","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
"89","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","39","SIM"
"90","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","34","NAO"
"91","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"92","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"93","SC","35","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","SIM"
"94","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","NAO"
"95","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","SIM"
"96","SP","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","NAO"
"97","MG","51","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","SIM"
"98","SC","53","Superior Cursando","Casado","2","Não","1","280000","0","12","Sim","9000","0","0","78","NAO"
"99","PR","55","Superior Completo","Casado","2","Não","3","700000","0","75","Não","17500","1","50000","84","SIM"
"100","RJ","57","Segundo Grau Completo","Casado","3","Sim","1","340000","4000","90","Sim","13000","2","180000","89","NAO"
"101","SP","62","Superior Cursando","Casado","3","Sim","1","450000","3200","93","Não","5300","0","0","95","SIM"
"102","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","NAO"
"103","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","47","SIM"
"104","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","18","NAO"
"105","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","53","SIM"
"106","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","29","NAO"
"107","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"108","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"109","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"110","SC","35","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"111","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"112","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"113","SP","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"114","MG","51","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"115","SC","53","Superior Cursando","Casado","2","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"116","PR","55","Superior Completo","Casado","2","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"117","RJ","57","Segundo Grau Completo","Casado","3","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"118","SP","62","Superior Cursando","Casado","3","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"119","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"120","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"121","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","43","SIM"
"122","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","39","NAO"
"123","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","47","SIM"
"124","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","53","NAO"
"125","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"126","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"127","SC","35","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","SIM"
"128","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","NAO"
"129","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","SIM"
"130","SP","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","NAO"
"131","MG","51","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","SIM"
"132","SC","53","Superior Cursando","Casado","2","Não","1","280000","0","12","Sim","9000","0","0","78","NAO"
"133","PR","55","Superior Completo","Casado","2","Não","3","700000","0","75","Não","17500","1","50000","84","SIM"
"134","RJ","57","Segundo Grau Completo","Casado","3","Sim","1","340000","4000","90","Sim","13000","2","180000","89","NAO"
"135","SP","62","Superior Cursando","Casado","3","Sim","1","450000","3200","93","Não","5300","0","0","95","SIM"
"136","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","NAO"
"137","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","43","SIM"
"138","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","39","NAO"
"139","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","47","SIM"
"140","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","53","NAO"
"141","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"142","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"143","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"144","SC","35","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"145","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"146","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"147","SP","48","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"148","MG","51","Segundo Grau Completo","Divorciado","1","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"149","SC","53","Superior Cursando","Casado","2","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"150","PR","55","Superior Completo","Casado","2","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"151","RJ","57","Segundo Grau Completo","Casado","3","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"152","SP","62","Superior Cursando","Casado","3","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"153","RJ","65","Superior Completo","Viuvo","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"154","SP","19","Superior Cursando","Solteiro","0","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"155","MG","23","Superior Completo","Solteiro","1","Não","0","0","0","9","Não","4800","1","50000","43","SIM"
"156","SC","25","Segundo Grau Completo","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","39","NAO"
"157","PR","27","Superior Cursando","Casado","1","Sim","0","0","0","22","Não","3900","0","0","47","SIM"
"158","RJ","28","Superior Completo","Divorciado","2","Não","1","370000","0","30","Sim","11500","1","35000","53","NAO"
"159","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"160","MG","32","Superior Cursando","Solteiro","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"161","SC","35","Superior Completo","Solteiro","1","Não","0","0","0","8","Sim","1800","0","0","43","SIM"
"162","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","9","Não","4800","1","50000","39","NAO"
"163","RJ","45","Superior Cursando","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","47","SIM"
"164","SP","48","Superior Completo","Divorciado","2","Sim","0","0","0","22","Não","3900","0","0","53","NAO"
"165","MG","51","Segundo Grau Completo","Divorciado","1","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"166","SC","53","Superior Cursando","Casado","2","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"167","PR","55","Superior Completo","Casado","2","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"168","RJ","57","Segundo Grau Completo","Casado","3","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"169","SP","62","Superior Cursando","Casado","3","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"170","RJ","65","Superior Completo","Viuvo","1","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"171","SP","19","Superior Cursando","Solteiro","0","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"172","MG","23","Superior Completo","Solteiro","1","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"173","SC","25","Segundo Grau Completo","Casado","0","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"174","PR","25","Superior Cursando","Casado","1","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"175","RJ","28","Superior Completo","Divorciado","2","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"176","SP","30","Segundo Grau Completo","Divorciado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"177","MG","32","Superior Cursando","Solteiro","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"178","SC","35","Superior Completo","Solteiro","1","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"179","PR","42","Segundo Grau Completo","Casado","0","Não","0","0","0","9","Não","4800","1","50000","43","SIM"
"180","RJ","45","Superior Cursando","Casado","0","Sim","1","220000","0","18","Sim","2200","2","30000","39","NAO"
"181","SP","48","Superior Completo","Divorciado","2","Sim","0","0","0","22","Não","3900","0","0","47","SIM"
"182","MG","51","Segundo Grau Completo","Divorciado","1","Não","1","370000","0","30","Sim","11500","1","35000","53","NAO"
"183","SC","53","Superior Cursando","Casado","2","Não","0","0","0","14","Sim","3100","2","40000","43","SIM"
"184","PR","55","Superior Completo","Casado","2","Sim","1","185000","3000","19","Sim","6800","0","0","47","NAO"
"185","RJ","57","Segundo Grau Completo","Casado","3","Não","0","0","0","8","Sim","1800","0","0","43","SIM"
"186","SP","62","Superior Cursando","Casado","3","Não","0","0","0","9","Não","4800","1","50000","47","NAO"
"187","RJ","65","Superior Completo","Viuvo","1","Sim","1","220000","0","18","Sim","2200","2","30000","43","SIM"
"188","SP","19","Superior Cursando","Solteiro","0","Sim","0","0","0","22","Não","3900","0","0","47","NAO"
"189","MG","23","Superior Completo","Solteiro","1","Não","1","370000","0","30","Sim","11500","1","35000","43","SIM"
"190","SC","25","Segundo Grau Completo","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","47","NAO"
"191","PR","27","Superior Cursando","Casado","1","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"192","RJ","28","Superior Completo","Divorciado","2","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"193","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"194","MG","32","Superior Cursando","Solteiro","1","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"195","SC","35","Superior Completo","Solteiro","1","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"196","PR","42","Segundo Grau Completo","Casado","0","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"197","RJ","45","Superior Cursando","Casado","0","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"198","SP","48","Superior Completo","Divorciado","2","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"199","MG","51","Segundo Grau Completo","Divorciado","1","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"200","SC","53","Superior Cursando","Casado","2","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"201","PR","55","Superior Completo","Casado","2","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"202","RJ","57","Segundo Grau Completo","Casado","3","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"203","SP","62","Superior Cursando","Casado","3","Não","0","0","0","9","Não","4800","1","50000","43","SIM"
"204","RJ","65","Superior Completo","Viuvo","1","Sim","1","220000","0","18","Sim","2200","2","30000","39","NAO"
"205","SP","19","Superior Cursando","Solteiro","0","Sim","0","0","0","22","Não","3900","0","0","47","SIM"
"206","MG","23","Superior Completo","Solteiro","1","Não","1","370000","0","30","Sim","11500","1","35000","53","NAO"
"207","SC","25","Segundo Grau Completo","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","43","SIM"
"208","PR","27","Superior Cursando","Casado","1","Sim","1","185000","3000","19","Sim","6800","0","0","47","NAO"
"209","RJ","28","Superior Completo","Divorciado","2","Não","0","0","0","8","Sim","1800","0","0","43","SIM"
"210","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","9","Não","4800","1","50000","47","NAO"
"211","MG","32","Superior Cursando","Solteiro","1","Sim","1","220000","0","18","Sim","2200","2","30000","43","SIM"
"212","SC","35","Superior Completo","Solteiro","1","Sim","0","0","0","22","Não","3900","0","0","47","NAO"
"213","PR","42","Segundo Grau Completo","Casado","0","Não","1","370000","0","30","Sim","11500","1","35000","43","SIM"
"214","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","47","NAO"
"215","SP","48","Superior Completo","Divorciado","2","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"216","MG","51","Segundo Grau Completo","Divorciado","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"217","SC","53","Superior Cursando","Casado","2","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"218","PR","55","Superior Completo","Casado","2","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"219","RJ","57","Segundo Grau Completo","Casado","3","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"220","SP","62","Superior Cursando","Casado","3","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"221","RJ","65","Superior Completo","Viuvo","1","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"222","SP","19","Superior Cursando","Solteiro","0","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"223","MG","23","Superior Completo","Solteiro","1","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"224","SC","25","Segundo Grau Completo","Casado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"225","PR","27","Superior Cursando","Casado","1","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"226","RJ","28","Superior Completo","Divorciado","2","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"227","SP","30","Segundo Grau Completo","Divorciado","0","Não","0","0","0","9","Não","4800","1","50000","43","SIM"
"228","MG","32","Superior Cursando","Solteiro","1","Sim","1","220000","0","18","Sim","2200","2","30000","39","NAO"
"229","SC","35","Superior Completo","Solteiro","1","Sim","0","0","0","22","Não","3900","0","0","47","SIM"
"230","PR","42","Segundo Grau Completo","Casado","0","Não","1","370000","0","30","Sim","11500","1","35000","53","NAO"
"231","RJ","45","Superior Cursando","Casado","0","Não","0","0","0","14","Sim","3100","2","40000","40","SIM"
"232","SP","48","Superior Completo","Divorciado","2","Sim","1","185000","3000","19","Sim","6800","0","0","45","NAO"
"233","MG","51","Segundo Grau Completo","Divorciado","1","Não","0","0","0","8","Sim","1800","0","0","43","SIM"
"234","SC","53","Superior Cursando","Casado","2","Não","0","0","0","9","Não","4800","1","50000","43","NAO"
"235","PR","55","Superior Completo","Casado","2","Sim","1","220000","0","18","Sim","2200","2","30000","43","SIM"
"236","RJ","57","Segundo Grau Completo","Casado","3","Sim","0","0","0","22","Não","3900","0","0","47","NAO"
"237","SP","62","Superior Cursando","Casado","3","Não","1","370000","0","30","Sim","11500","1","35000","34","SIM"
"238","RJ","65","Superior Completo","Viuvo","1","Não","0","0","0","14","Sim","3100","2","40000","40","NAO"
"239","SP","19","Superior Cursando","Solteiro","0","Sim","1","185000","3000","19","Sim","6800","0","0","45","SIM"
"240","MG","23","Superior Completo","Solteiro","1","Sim","2","450000","2400","25","Sim","22000","1","150000","51","NAO"
"241","SC","25","Segundo Grau Completo","Casado","0","Não","0","0","0","48","Sim","4500","2","28000","56","SIM"
"242","PR","27","Superior Cursando","Casado","1","Não","0","0","0","120","Não","9800","0","0","62","NAO"
"243","RJ","28","Superior Completo","Divorciado","2","Sim","2","600000","0","15","Sim","15000","1","70000","67","SIM"
"244","SP","30","Segundo Grau Completo","Divorciado","0","Sim","0","0","0","80","Não","6100","2","48000","73","NAO"
"245","MG","32","Superior Cursando","Solteiro","1","Não","1","280000","0","12","Sim","9000","0","0","78","SIM"
"246","SC","35","Superior Completo","Solteiro","1","Não","3","700000","0","75","Não","17500","1","50000","84","NAO"
"247","PR","42","Segundo Grau Completo","Casado","0","Sim","1","340000","4000","90","Sim","13000","2","180000","89","SIM"
"248","RJ","45","Superior Cursando","Casado","0","Sim","1","450000","3200","93","Não","5300","0","0","95","NAO"
"249","SP","48","Superior Completo","Divorciado","2","Não","3","900000","0","150","Não","18300","1","80000","98","SIM"
"250","MG","51","Segundo Grau Completo","Divorciado","1","Não","0","0","0","8","Sim","1800","0","0","12","NAO"
"251","SC","53","Superior Cursando","Casado","2","Não","0","0","0","9","Não","4800","1","50000","47","SIM"
"252","PR","55","Superior Completo","Casado","2","Sim","1","220000","0","18","Sim","2200","2","30000","23","NAO"
